,OID_,Elevation,Latitude,Longitude
436,329,119.0,-46.075,167.475
437,330,174.0,-46.075,167.525
438,398,197.0,-46.025,167.375
439,399,289.0,-46.025,167.425
440,724,198.0,-46.125,167.375
441,725,136.0,-46.125,167.425
442,726,91.0,-46.125,167.475
443,727,158.0,-46.125,167.525
444,30,404.0,-46.025,167.575
445,33,196.0,-46.025,167.625
446,36,140.0,-46.025,167.675
447,39,69.0,-46.025,167.725
448,118,41.0,-46.175,167.575
449,119,17.0,-46.175,167.625
450,120,30.0,-46.175,167.675
451,121,141.0,-46.175,167.725
452,331,160.0,-46.075,167.575
453,332,200.0,-46.075,167.625
454,333,144.0,-46.075,167.675
455,334,48.0,-46.075,167.725
456,728,128.0,-46.125,167.575
457,729,75.0,-46.125,167.625
458,730,31.0,-46.125,167.675
459,731,96.0,-46.125,167.725
460,40,156.0,-46.025,167.775
461,44,80.0,-46.025,167.825
462,45,141.0,-46.025,167.875
463,122,415.0,-46.175,167.775
464,123,706.0,-46.175,167.825
465,124,273.0,-46.175,167.875
466,335,90.0,-46.075,167.775
467,336,97.0,-46.075,167.825
468,337,119.0,-46.075,167.875
469,732,205.0,-46.125,167.775
470,733,471.0,-46.125,167.825
471,734,577.0,-46.125,167.875
472,49,244.0,-46.025,167.925
473,52,113.0,-46.025,167.975
474,55,120.0,-46.025,168.025
475,58,112.0,-46.025,168.075
476,125,134.0,-46.175,167.925
477,126,196.0,-46.175,167.975
478,144,46.0,-46.175,168.025
479,161,60.0,-46.175,168.075
480,338,74.0,-46.075,167.925
481,339,72.0,-46.075,167.975
482,340,80.0,-46.075,168.025
483,341,79.0,-46.075,168.075
484,735,140.0,-46.125,167.925
485,736,60.0,-46.125,167.975
486,737,60.0,-46.125,168.025
487,738,64.0,-46.125,168.075
488,61,108.0,-46.025,168.125
489,139,106.0,-46.025,168.175
490,141,100.0,-46.025,168.225
491,170,60.0,-46.175,168.125
492,179,59.0,-46.175,168.175
493,268,53.0,-46.175,168.225
494,342,84.0,-46.075,168.125
495,343,81.0,-46.075,168.175
496,344,79.0,-46.075,168.225
497,739,63.0,-46.125,168.125
498,740,62.0,-46.125,168.175
499,741,59.0,-46.125,168.225
500,142,98.0,-46.025,168.275
501,143,87.0,-46.025,168.325
502,147,85.0,-46.025,168.375
503,160,259.0,-46.025,168.425
504,283,36.0,-46.175,168.275
505,291,43.0,-46.175,168.325
506,299,56.0,-46.175,168.375
507,307,151.0,-46.175,168.425
508,345,72.0,-46.075,168.275
509,346,68.0,-46.075,168.325
510,347,70.0,-46.075,168.375
511,348,75.0,-46.075,168.425
512,742,54.0,-46.125,168.275
513,743,56.0,-46.125,168.325
514,744,138.0,-46.125,168.375
515,745,65.0,-46.125,168.425
516,169,345.0,-46.025,168.475
517,178,391.0,-46.025,168.525
518,187,361.0,-46.025,168.575
519,349,119.0,-46.075,168.475
520,350,121.0,-46.075,168.525
521,351,372.0,-46.075,168.575
522,400,60.0,-46.175,168.475
523,401,41.0,-46.175,168.525
524,406,101.0,-46.175,168.575
525,746,64.0,-46.125,168.475
526,747,72.0,-46.125,168.525
527,748,122.0,-46.125,168.575
528,188,323.0,-46.025,168.625
529,189,218.0,-46.025,168.675
530,190,169.0,-46.025,168.725
531,191,140.0,-46.025,168.775
532,352,579.0,-46.075,168.625
533,353,481.0,-46.075,168.675
534,354,356.0,-46.075,168.725
535,355,291.0,-46.075,168.775
536,410,151.0,-46.175,168.625
537,429,83.0,-46.175,168.675
538,437,80.0,-46.175,168.725
539,445,120.0,-46.175,168.775
540,749,173.0,-46.125,168.625
541,750,431.0,-46.125,168.675
542,751,159.0,-46.125,168.725
543,752,109.0,-46.125,168.775
544,192,439.0,-46.025,168.825
545,193,103.0,-46.025,168.875
546,194,96.0,-46.025,168.925
547,195,133.0,-46.025,168.975
548,356,156.0,-46.075,168.825
549,357,173.0,-46.075,168.875
550,358,84.0,-46.075,168.925
551,359,90.0,-46.075,168.975
552,452,118.0,-46.175,168.825
553,459,57.0,-46.175,168.875
554,543,120.0,-46.175,168.925
555,548,217.0,-46.175,168.975
556,753,123.0,-46.125,168.825
557,754,122.0,-46.125,168.875
558,755,69.0,-46.125,168.925
559,756,220.0,-46.125,168.975
560,196,116.0,-46.025,169.025
561,197,139.0,-46.025,169.075
562,198,180.0,-46.025,169.125
563,360,142.0,-46.075,169.025
564,361,158.0,-46.075,169.075
565,362,173.0,-46.075,169.125
566,551,212.0,-46.175,169.025
567,554,209.0,-46.175,169.075
568,558,188.0,-46.175,169.125
569,757,372.0,-46.125,169.025
570,758,148.0,-46.125,169.075
571,759,221.0,-46.125,169.125
572,199,242.0,-46.025,169.175
573,200,114.0,-46.025,169.225
574,201,323.0,-46.025,169.275
575,202,176.0,-46.025,169.325
576,363,188.0,-46.075,169.175
577,364,185.0,-46.075,169.225
578,365,125.0,-46.075,169.275
579,366,154.0,-46.075,169.325
580,563,180.0,-46.175,169.175
581,569,325.0,-46.175,169.225
582,575,369.0,-46.175,169.275
583,581,137.0,-46.175,169.325
584,760,140.0,-46.125,169.175
585,761,152.0,-46.125,169.225
586,762,123.0,-46.125,169.275
587,763,117.0,-46.125,169.325
588,203,117.0,-46.025,169.375
589,204,100.0,-46.025,169.425
590,205,80.0,-46.025,169.475
591,367,100.0,-46.075,169.375
592,368,40.0,-46.075,169.425
593,369,66.0,-46.075,169.475
594,658,120.0,-46.175,169.375
595,660,116.0,-46.175,169.425
596,664,79.0,-46.175,169.475
597,764,132.0,-46.125,169.375
598,765,70.0,-46.125,169.425
599,766,40.0,-46.125,169.475
600,128,45.0,-46.125,169.525
601,149,40.0,-46.125,169.575
602,155,112.0,-46.125,169.625
603,163,141.0,-46.125,169.675
604,206,54.0,-46.025,169.525
605,207,117.0,-46.025,169.575
606,208,257.0,-46.025,169.625
607,209,243.0,-46.025,169.675
608,370,20.0,-46.075,169.525
609,371,84.0,-46.075,169.575
610,372,80.0,-46.075,169.625
611,373,206.0,-46.075,169.675
612,669,60.0,-46.175,169.525
613,674,101.0,-46.175,169.575
614,679,67.0,-46.175,169.625
615,684,62.0,-46.175,169.675
616,172,226.0,-46.125,169.725
617,181,205.0,-46.125,169.775
618,210,145.0,-46.025,169.725
619,211,141.0,-46.025,169.775
620,212,287.0,-46.025,169.825
621,275,126.0,-46.125,169.825
622,374,269.0,-46.075,169.725
623,375,365.0,-46.075,169.775
624,376,121.0,-46.075,169.825
625,689,161.0,-46.175,169.725
626,694,86.0,-46.175,169.775
627,699,20.0,-46.175,169.825
628,213,237.0,-46.025,169.875
629,214,310.0,-46.025,169.925
630,215,202.0,-46.025,169.975
631,216,80.0,-46.025,170.025
632,279,25.0,-46.125,169.875
633,287,20.0,-46.125,169.925
634,295,20.0,-46.125,169.975
635,303,122.0,-46.125,170.025
636,377,153.0,-46.075,169.875
637,378,140.0,-46.075,169.925
638,379,40.0,-46.075,169.975
639,380,96.0,-46.075,170.025
640,704,47.0,-46.175,169.875
641,705,241.0,-46.175,169.925
642,706,69.0,-46.175,169.975
643,707,136.0,-46.175,170.025
644,217,0.0,-46.025,170.075
645,218,124.0,-46.025,170.125
646,219,84.0,-46.025,170.175
647,220,20.0,-46.025,170.225
648,311,396.0,-46.125,170.075
649,312,118.0,-46.125,170.125
650,313,46.0,-46.125,170.175
651,381,163.0,-46.075,170.075
652,382,180.0,-46.075,170.125
653,383,21.0,-46.075,170.175
654,708,92.0,-46.175,170.075
655,709,58.0,-46.175,170.125
656,221,154.0,-45.975,166.475
657,222,133.0,-45.975,166.525
658,223,0.0,-45.975,166.575
659,289,140.0,-45.875,166.475
660,297,354.0,-45.875,166.525
661,305,111.0,-45.875,166.575
662,408,655.0,-45.875,166.625
663,471,161.0,-45.925,166.475
664,472,364.0,-45.925,166.525
665,473,504.0,-45.925,166.575
666,474,307.0,-45.925,166.625
667,224,100.0,-45.975,166.775
668,411,170.0,-45.875,166.675
669,417,155.0,-45.875,166.725
670,420,669.0,-45.875,166.775
671,423,623.0,-45.875,166.825
672,475,201.0,-45.925,166.675
673,476,342.0,-45.925,166.725
674,477,141.0,-45.925,166.775
675,478,621.0,-45.925,166.825
676,225,774.0,-45.975,166.925
677,226,850.0,-45.975,166.975
678,426,714.0,-45.875,166.875
679,433,655.0,-45.875,166.925
680,439,378.0,-45.875,166.975
681,479,551.0,-45.925,166.875
682,480,415.0,-45.925,166.925
683,481,843.0,-45.925,166.975
684,227,773.0,-45.975,167.025
685,228,1189.0,-45.975,167.075
686,229,411.0,-45.975,167.125
687,230,785.0,-45.975,167.175
688,446,939.0,-45.875,167.025
689,453,649.0,-45.875,167.075
690,460,1006.0,-45.875,167.125
691,482,393.0,-45.925,167.025
692,483,167.0,-45.925,167.075
693,484,1042.0,-45.925,167.125
694,485,401.0,-45.925,167.175
695,545,155.0,-45.875,167.175
696,231,539.0,-45.975,167.225
697,232,949.0,-45.975,167.275
698,233,155.0,-45.975,167.325
699,486,474.0,-45.925,167.225
700,487,155.0,-45.925,167.275
701,488,871.0,-45.925,167.325
702,555,795.0,-45.875,167.225
703,559,1061.0,-45.875,167.275
704,565,845.0,-45.875,167.325
705,234,307.0,-45.975,167.375
706,235,305.0,-45.975,167.425
707,236,143.0,-45.975,167.475
708,237,130.0,-45.975,167.525
709,489,939.0,-45.925,167.375
710,490,499.0,-45.925,167.425
711,491,318.0,-45.925,167.475
712,492,529.0,-45.925,167.525
713,571,198.0,-45.875,167.375
714,577,208.0,-45.875,167.425
715,583,757.0,-45.875,167.475
716,651,519.0,-45.875,167.525
717,238,160.0,-45.975,167.575
718,239,118.0,-45.975,167.625
719,240,64.0,-45.975,167.675
720,241,95.0,-45.975,167.725
721,493,286.0,-45.925,167.575
722,494,183.0,-45.925,167.625
723,495,80.0,-45.925,167.675
724,496,127.0,-45.925,167.725
725,654,462.0,-45.875,167.575
726,659,134.0,-45.875,167.625
727,661,222.0,-45.875,167.675
728,666,168.0,-45.875,167.725
729,242,134.0,-45.975,167.775
730,243,153.0,-45.975,167.825
731,244,330.0,-45.975,167.875
732,497,204.0,-45.925,167.775
733,498,140.0,-45.925,167.825
734,499,142.0,-45.925,167.875
735,671,206.0,-45.875,167.775
736,676,286.0,-45.875,167.825
737,681,397.0,-45.875,167.875
738,245,306.0,-45.975,167.925
739,246,158.0,-45.975,167.975
740,247,156.0,-45.975,168.025
741,248,161.0,-45.975,168.075
742,500,154.0,-45.925,167.925
743,501,199.0,-45.925,167.975
744,502,309.0,-45.925,168.025
745,503,219.0,-45.925,168.075
746,686,367.0,-45.875,167.925
747,691,288.0,-45.875,167.975
748,696,405.0,-45.875,168.025
749,701,322.0,-45.875,168.075
750,249,133.0,-45.975,168.125
751,250,232.0,-45.975,168.175
752,251,259.0,-45.975,168.225
753,504,166.0,-45.925,168.125
754,505,301.0,-45.925,168.175
755,506,532.0,-45.925,168.225
756,768,195.0,-45.875,168.125
757,775,291.0,-45.875,168.175
758,777,519.0,-45.875,168.225
759,252,206.0,-45.975,168.275
760,253,99.0,-45.975,168.325
761,254,169.0,-45.975,168.375
762,255,379.0,-45.975,168.425
763,507,181.0,-45.925,168.275
764,508,112.0,-45.925,168.325
765,509,242.0,-45.925,168.375
766,510,343.0,-45.925,168.425
767,779,146.0,-45.875,168.275
768,781,132.0,-45.875,168.325
769,783,138.0,-45.875,168.375
